spend per visit,nights per visit,quarter,dur_stay,mode,purpose
271.3012126,1.946834837,January-March,1-3  nights,Air,Holiday
258.4573669,1.357674763,January-March,1-3  nights,Air,Business
102.4110189,2.454596613,January-March,1-3  nights,Air,VFR
62.00007493,1,January-March,1-3  nights,Air,Miscellaneous
10.18336047,1.000988717,January-March,1-3  nights,Sea,Business
6.690001653,2.999998285,January-March,1-3  nights,Sea,Miscellaneous
252.7796426,2.124511402,January-March,1-3  nights,Tunnel,Holiday
239.0194335,1.72297852,January-March,1-3  nights,Tunnel,Business
84.20691182,1.698278727,January-March,1-3  nights,Tunnel,VFR
660.6457599,1.999997168,January-March,1-3  nights,Tunnel,Miscellaneous
213.5360765,6.996168302,January-March,4-7  nights,Air,Business
111.9997217,6.999974892,January-March,4-7  nights,Air,VFR
452.6499302,4.191349389,January-March,4-7  nights,Tunnel,Holiday
151.984433,3.314739572,January-March,4-7  nights,Tunnel,Business
308.716574,4.376767884,January-March,4-7  nights,Tunnel,VFR
28.09299317,7.000005496,January-March,4-7  nights,Tunnel,Miscellaneous
126.5412284,2.99730185,January-March,8-14 nights,Air,Holiday
447.0001528,9.999999816,January-March,8-14 nights,Air,VFR
300.8502995,10.60410379,January-March,8-14 nights,Tunnel,Holiday
215.5471663,7.089640228,January-March,8-14 nights,Tunnel,VFR
0,12.99999703,January-March,8-14 nights,Tunnel,Miscellaneous
512.0009287,14.99999905,January-March,15+  nights,Air,VFR
178.6666639,2.999999892,January-March,1-3  nights,Air,Holiday
62.00001875,2,January-March,1-3  nights,Air,VFR
412.0006419,2,January-March,1-3  nights,Air,Miscellaneous
503.4977942,1,January-March,1-3  nights,Tunnel,Miscellaneous
201.627335,4.00000903,January-March,4-7  nights,Tunnel,Holiday
352.4488605,14.99999988,January-March,15+  nights,Tunnel,Holiday
316.6701729,1.991632996,January-March,1-3  nights,Air,Holiday
464.2745299,1.646776524,January-March,1-3  nights,Air,Business
290.530063,2.483273404,January-March,1-3  nights,Air,VFR
144.0333138,2.863812504,January-March,1-3  nights,Air,Miscellaneous
103.2777929,2.148219358,January-March,1-3  nights,Sea,Holiday
14.3496766,1.032980229,January-March,1-3  nights,Sea,Business
70.31350643,1.783158529,January-March,1-3  nights,Sea,VFR
115.5270196,1,January-March,1-3  nights,Sea,Miscellaneous
152.9968369,1.84907209,January-March,1-3  nights,Tunnel,Holiday
303.8870801,1.715559388,January-March,1-3  nights,Tunnel,Business
155.0925007,2.050174029,January-March,1-3  nights,Tunnel,VFR
234.068664,1.99999228,January-March,1-3  nights,Tunnel,Study
399.0906478,1.996096015,January-March,1-3  nights,Tunnel,Miscellaneous
301.0108819,4.529069931,January-March,4-7  nights,Air,Holiday
735.940442,4.604408595,January-March,4-7  nights,Air,Business
133.8815277,4.325339662,January-March,4-7  nights,Air,VFR
142.3165383,4.108147034,January-March,4-7  nights,Sea,Holiday
69.53998847,2.619232229,January-March,4-7  nights,Sea,VFR
152.3044347,4.653126675,January-March,4-7  nights,Tunnel,Holiday
643.5953088,4.177689147,January-March,4-7  nights,Tunnel,Business
174.7805905,4.761858331,January-March,4-7  nights,Tunnel,VFR
179.8199079,4.999999928,January-March,4-7  nights,Tunnel,Study
360.7730848,4.812129091,January-March,4-7  nights,Tunnel,Miscellaneous
283.510969,11.67157701,January-March,8-14 nights,Air,Holiday
1154.78217,11.13492487,January-March,8-14 nights,Air,VFR
512.8473886,10.83489001,January-March,8-14 nights,Tunnel,Holiday
2010.147591,8.999999817,January-March,8-14 nights,Tunnel,Business
265.4170363,8.028027075,January-March,8-14 nights,Tunnel,VFR
523.9145947,9.48266325,January-March,15+  nights,Air,Holiday
1106.136372,54.30348834,January-March,15+  nights,Air,Business
180.5893665,10.49794056,January-March,15+  nights,Air,VFR
651.207942,27.82227209,January-March,15+  nights,Air,Study
1352.953777,22.41503373,January-March,15+  nights,Tunnel,Business
1538.035039,39.97056831,January-March,15+  nights,Tunnel,Study
0,25.99999649,January-March,15+  nights,Tunnel,Miscellaneous
279.1665368,2.490761973,January-March,1-3  nights,Air,Holiday
408.9300751,1.595957916,January-March,1-3  nights,Air,Business
225.8540393,2.282992964,January-March,1-3  nights,Air,VFR
98.13374378,1.716369861,January-March,1-3  nights,Air,Miscellaneous
211.0237483,3.000008562,January-March,1-3  nights,Sea,Holiday
0,2.017130473,January-March,1-3  nights,Sea,Business
179.6002503,2.000006235,January-March,1-3  nights,Sea,Miscellaneous
13.01026017,1,January-March,1-3  nights,Tunnel,Holiday
425.709607,2.437197547,January-March,1-3  nights,Tunnel,Business
128.8585949,2.735951684,January-March,1-3  nights,Tunnel,VFR
234.6316095,4.435380788,January-March,4-7  nights,Air,Holiday
371.8500608,3.749083975,January-March,4-7  nights,Air,Business
220.4727933,5.550956438,January-March,4-7  nights,Air,VFR
1431.050042,5.380952575,January-March,4-7  nights,Air,Miscellaneous
239.7821754,4.99999407,January-March,4-7  nights,Sea,Holiday
324.465303,5,January-March,4-7  nights,Tunnel,Holiday
237.7314606,4.93119878,January-March,4-7  nights,Tunnel,VFR
0,2.999992002,January-March,4-7  nights,Tunnel,Miscellaneous
380.5403266,12.33638229,January-March,8-14 nights,Air,Holiday
1049.268874,9.820452946,January-March,8-14 nights,Air,Business
226.6588692,9.347180797,January-March,8-14 nights,Air,VFR
37.30178483,1.989776573,January-March,8-14 nights,Sea,VFR
0,2.984676998,January-March,8-14 nights,Tunnel,VFR
51.29603056,8.000004998,January-March,8-14 nights,Tunnel,Miscellaneous
21.62810051,1.000702666,January-March,15+  nights,Air,Holiday
491.2651602,21.28742396,January-March,15+  nights,Air,Business
343.1996839,9.694800494,January-March,15+  nights,Air,VFR
0,15.91830381,January-March,15+  nights,Sea,VFR
74.7316533,17.67355471,January-March,15+  nights,Tunnel,VFR
359.0731967,17.99998262,January-March,15+  nights,Tunnel,Study
391.3691941,2.574965052,January-March,1-3  nights,Air,Holiday
356.5755211,1.537255332,January-March,1-3  nights,Air,Business
210.7507749,2.302688677,January-March,1-3  nights,Air,VFR
145.5824456,1.608271363,January-March,1-3  nights,Air,Miscellaneous
150.3725368,2,January-March,1-3  nights,Tunnel,Holiday
203.2435383,4.877119051,January-March,4-7  nights,Air,Holiday
603.2492102,4.57094121,January-March,4-7  nights,Air,Business
326.3714382,4.782354511,January-March,4-7  nights,Air,VFR
796.2197276,4.376362673,January-March,4-7  nights,Air,Miscellaneous
313.1000736,5.99999411,January-March,4-7  nights,Tunnel,Holiday
499.1040882,10.13622455,January-March,8-14 nights,Air,Holiday
652.8869507,11.40275751,January-March,8-14 nights,Air,Business
143.0098212,6.799475053,January-March,8-14 nights,Air,VFR
3370.650328,34.47192259,January-March,15+  nights,Air,Holiday
620.9263273,22.8054771,January-March,15+  nights,Air,Business
715.2708656,21.60077945,January-March,15+  nights,Air,VFR
2546.132546,52.73507216,January-March,15+  nights,Air,Study
1308.746469,52.77340272,January-March,15+  nights,Air,Miscellaneous
275.0091722,2.278833615,January-March,1-3  nights,Air,Holiday
397.5452683,1.577926274,January-March,1-3  nights,Air,Business
149.112039,2.161832415,January-March,1-3  nights,Air,VFR
137.5630326,0.990797425,January-March,1-3  nights,Air,Miscellaneous
184.1650993,1.999997942,January-March,1-3  nights,Sea,Holiday
7.332277246,1,January-March,1-3  nights,Sea,Business
154.7320236,2.999988057,January-March,1-3  nights,Tunnel,Holiday
186.6348792,2.016645466,January-March,1-3  nights,Tunnel,Business
128.4324182,2.250003732,January-March,1-3  nights,Tunnel,VFR
334.3803677,4.314558438,January-March,4-7  nights,Air,Holiday
483.8857073,4.178945636,January-March,4-7  nights,Air,Business
106.2990344,3.588986804,January-March,4-7  nights,Air,VFR
128.6243022,3.963193138,January-March,4-7  nights,Air,Miscellaneous
62.50388161,3.99999309,January-March,4-7  nights,Sea,Holiday
127.869041,3.350572926,January-March,4-7  nights,Sea,VFR
303.9591658,5.999999719,January-March,4-7  nights,Tunnel,Holiday
202.6400001,4,January-March,4-7  nights,Tunnel,VFR
232.6149317,2,January-March,8-14 nights,Air,Business
243.4667425,7.926351558,January-March,8-14 nights,Air,Miscellaneous
151.0490178,13.00002699,January-March,8-14 nights,Sea,Business
438.6932186,8.11331985,January-March,8-14 nights,Sea,Miscellaneous
375.1483975,31.48863649,January-March,15+  nights,Air,Holiday
10672.00131,58.00009275,January-March,15+  nights,Air,Business
757.2040164,15.86863552,January-March,15+  nights,Air,VFR
100.8127668,29.99994813,January-March,15+  nights,Sea,VFR
2.620006776,1,January-March,15+  nights,Tunnel,VFR
306.5473382,2.87151977,January-March,1-3  nights,Air,Holiday
431.2625807,1.668404813,January-March,1-3  nights,Air,Business
64.70115612,2.014228177,January-March,1-3  nights,Air,VFR
244.9054091,2.446779075,January-March,1-3  nights,Air,Miscellaneous
143.2383611,2.000002634,January-March,1-3  nights,Sea,Holiday
335.6819782,2,January-March,1-3  nights,Tunnel,Business
332.089192,5.814173861,January-March,4-7  nights,Air,Holiday
425.0538501,3.310901168,January-March,4-7  nights,Air,Business
305.389862,3.970024975,January-March,4-7  nights,Air,VFR
372.8305892,4.000002789,January-March,4-7  nights,Sea,Holiday
29.62184012,4.19150351,January-March,8-14 nights,Air,Holiday
687.1798351,24.74412979,January-March,15+  nights,Air,Business
608.0052621,16.87271085,January-March,15+  nights,Air,VFR
148.5348947,7.000025028,January-March,15+  nights,Air,Miscellaneous
936.9945784,2.921494224,January-March,1-3  nights,Air,Holiday
514.6590845,2.59895834,January-March,1-3  nights,Air,Business
89.85636044,2.400652006,January-March,1-3  nights,Air,VFR
514.2406616,2.008956206,January-March,1-3  nights,Air,Miscellaneous
453.5060891,1.589437241,January-March,1-3  nights,Tunnel,Holiday
438.3490173,4.903217721,January-March,4-7  nights,Air,Holiday
850.2582522,4.290513838,January-March,4-7  nights,Air,Business
340.2913116,2.950194763,January-March,4-7  nights,Air,VFR
1326.281231,5.619045765,January-March,4-7  nights,Air,Miscellaneous
182.519859,3.973588329,January-March,4-7  nights,Tunnel,Holiday
1184.859736,6.610767652,January-March,8-14 nights,Air,Holiday
1275.362472,5.437437298,January-March,8-14 nights,Air,VFR
213.6009898,2,January-March,8-14 nights,Air,Miscellaneous
1261.998798,104.999886,January-March,15+  nights,Air,Miscellaneous
264.4235402,2.362379391,January-March,1-3  nights,Air,Holiday
384.646606,1.511399059,January-March,1-3  nights,Air,Business
161.6225901,2.247261225,January-March,1-3  nights,Air,VFR
128.0739137,0.897996417,January-March,1-3  nights,Air,Miscellaneous
208.6389328,2.500004598,January-March,1-3  nights,Tunnel,Holiday
16.71797948,1,January-March,1-3  nights,Tunnel,Business
480.3772809,4.945172513,January-March,4-7  nights,Air,Holiday
533.2054423,4.437177536,January-March,4-7  nights,Air,Business
215.0450916,4.660735342,January-March,4-7  nights,Air,VFR
49.10569161,3.592002877,January-March,4-7  nights,Air,Miscellaneous
440.7941833,8.595688464,January-March,8-14 nights,Air,Holiday
930.6659916,11.25566553,January-March,8-14 nights,Air,Business
170.4119667,8.017746334,January-March,8-14 nights,Air,VFR
251.688314,9.865407344,January-March,8-14 nights,Air,Miscellaneous
652.2253188,40.3740977,January-March,15+  nights,Air,Business
1698.56398,37.60383982,January-March,15+  nights,Air,VFR
1305.537263,56.14875771,January-March,15+  nights,Air,Study
171.8701994,19.75595113,January-March,15+  nights,Air,Miscellaneous
382.7970439,2.427245875,January-March,1-3  nights,Air,Holiday
447.7570495,1.702038592,January-March,1-3  nights,Air,Business
312.0000136,3.000000074,January-March,1-3  nights,Air,VFR
